,Intolerance,wealth_intolerance,Avg pct similar neighbors
667,0.25,0.25,56.8
668,0.25,0.25,57.4
669,0.25,0.25,57.5
670,0.25,0.25,57.8
671,0.25,0.25,58.1
672,0.25,0.25,58.5
673,0.25,0.25,58.4
674,0.25,0.25,58.5
675,0.25,0.25,58.6
676,0.25,0.25,58.4
677,0.25,0.25,58.6
678,0.25,0.25,58.8
679,0.25,0.25,58.8
680,0.25,0.25,58.8
681,0.25,0.25,58.8
682,0.25,0.25,58.8
683,0.25,0.25,58.8
684,0.25,0.25,58.8
685,0.25,0.25,58.8
686,0.25,0.25,58.8
687,0.25,0.25,58.8
688,0.25,0.25,58.8
689,0.25,0.25,58.8
690,0.25,0.25,58.8
691,0.25,0.25,58.8
692,0.25,0.25,58.8
693,0.25,0.25,58.8
694,0.25,0.25,58.8
695,0.25,0.25,58.8
696,0.25,0.25,58.8
697,0.25,0.25,58.8
698,0.25,0.25,58.8
699,0.25,0.25,58.8
700,0.25,0.25,58.8
701,0.25,0.25,58.8
702,0.25,0.25,58.8
703,0.25,0.25,58.8
704,0.25,0.25,58.8
705,0.25,0.25,58.8
706,0.25,0.25,58.8
707,0.25,0.25,58.8
708,0.25,0.25,58.8
709,0.25,0.25,58.8
710,0.25,0.25,58.8
711,0.25,0.25,58.8
712,0.25,0.25,58.8
713,0.25,0.25,58.8
714,0.25,0.25,0.0
715,0.25,0.25,0.0
716,0.25,0.25,54.8
717,0.25,0.25,59.1
718,0.25,0.25,61.4
719,0.25,0.25,61.7
720,0.25,0.25,61.7
721,0.25,0.25,61.7
722,0.25,0.25,61.7
723,0.25,0.25,61.7
724,0.25,0.25,61.7
725,0.25,0.25,61.7
726,0.25,0.25,61.7
727,0.25,0.25,61.7
728,0.25,0.25,61.7
729,0.25,0.25,61.7
730,0.25,0.25,61.7
731,0.25,0.25,61.7
732,0.25,0.25,61.7
733,0.25,0.25,61.7
734,0.25,0.25,61.7
735,0.25,0.25,61.7
736,0.25,0.25,61.7
737,0.25,0.25,61.7
738,0.25,0.25,61.7
739,0.25,0.25,61.7
740,0.25,0.25,61.7
741,0.25,0.25,61.7
742,0.25,0.25,61.7
743,0.25,0.25,61.7
744,0.25,0.25,61.7
745,0.25,0.25,61.7
746,0.25,0.25,61.7
747,0.25,0.25,61.7
748,0.25,0.25,61.7
749,0.25,0.25,61.7
750,0.25,0.25,61.7
751,0.25,0.25,61.7
752,0.25,0.25,61.7
753,0.25,0.25,61.7
754,0.25,0.25,61.7
755,0.25,0.25,61.7
756,0.25,0.25,61.7
757,0.25,0.25,61.7
758,0.25,0.25,61.7
759,0.25,0.25,61.7
760,0.25,0.25,61.7
761,0.25,0.25,61.7
762,0.25,0.25,61.7
763,0.25,0.25,61.7
764,0.25,0.25,61.7
765,0.25,0.25,0.0
766,0.25,0.25,0.0
767,0.25,0.25,55.1
768,0.25,0.25,59.3
769,0.25,0.25,59.7
770,0.25,0.25,60.1
771,0.25,0.25,60.8
772,0.25,0.25,60.8
773,0.25,0.25,60.8
774,0.25,0.25,60.8
775,0.25,0.25,60.8
776,0.25,0.25,60.8
777,0.25,0.25,60.8
778,0.25,0.25,60.8
779,0.25,0.25,60.8
780,0.25,0.25,60.8
781,0.25,0.25,60.8
782,0.25,0.25,60.8
783,0.25,0.25,60.8
784,0.25,0.25,60.8
785,0.25,0.25,60.8
786,0.25,0.25,60.8
787,0.25,0.25,60.8
788,0.25,0.25,60.8
789,0.25,0.25,60.8
790,0.25,0.25,60.8
791,0.25,0.25,60.8
792,0.25,0.25,60.8
793,0.25,0.25,60.8
794,0.25,0.25,60.8
795,0.25,0.25,60.8
796,0.25,0.25,60.8
797,0.25,0.25,60.8
798,0.25,0.25,60.8
799,0.25,0.25,60.8
800,0.25,0.25,60.8
801,0.25,0.25,60.8
802,0.25,0.25,60.8
803,0.25,0.25,60.8
804,0.25,0.25,60.8
805,0.25,0.25,60.8
806,0.25,0.25,60.8
807,0.25,0.25,60.8
808,0.25,0.25,60.8
809,0.25,0.25,60.8
810,0.25,0.25,60.8
811,0.25,0.25,60.8
812,0.25,0.25,60.8
813,0.25,0.25,60.8
814,0.25,0.25,60.8
815,0.25,0.25,60.8
816,0.25,0.25,0.0
817,0.25,0.25,0.0
818,0.25,0.25,51.1
819,0.25,0.25,56.1
820,0.25,0.25,57.5
821,0.25,0.25,57.8
822,0.25,0.25,57.8
823,0.25,0.25,58.0
824,0.25,0.25,59.1
825,0.25,0.25,59.0
826,0.25,0.25,59.1
827,0.25,0.25,59.2
828,0.25,0.25,59.1
829,0.25,0.25,59.1
830,0.25,0.25,59.1
831,0.25,0.25,59.0
832,0.25,0.25,59.3
833,0.25,0.25,59.3
834,0.25,0.25,59.3
835,0.25,0.25,59.3
836,0.25,0.25,59.3
837,0.25,0.25,59.3
838,0.25,0.25,59.3
839,0.25,0.25,59.3
840,0.25,0.25,59.3
841,0.25,0.25,59.3
842,0.25,0.25,59.3
843,0.25,0.25,59.3
844,0.25,0.25,59.3
845,0.25,0.25,59.3
846,0.25,0.25,59.3
847,0.25,0.25,59.3
848,0.25,0.25,59.3
849,0.25,0.25,59.3
850,0.25,0.25,59.3
851,0.25,0.25,59.3
852,0.25,0.25,59.3
853,0.25,0.25,59.3
854,0.25,0.25,59.3
855,0.25,0.25,59.3
856,0.25,0.25,59.3
857,0.25,0.25,59.3
858,0.25,0.25,59.3
859,0.25,0.25,59.3
860,0.25,0.25,59.3
861,0.25,0.25,59.3
862,0.25,0.25,59.3
863,0.25,0.25,59.3
864,0.25,0.25,59.3
865,0.25,0.25,59.3
866,0.25,0.25,59.3
867,0.25,0.25,0.0
868,0.25,0.25,0.0
869,0.25,0.25,54.2
870,0.25,0.25,57.3
871,0.25,0.25,58.3
872,0.25,0.25,58.5
873,0.25,0.25,59.2
874,0.25,0.25,59.2
875,0.25,0.25,59.5
876,0.25,0.25,59.5
877,0.25,0.25,59.5
878,0.25,0.25,59.5
879,0.25,0.25,59.5
880,0.25,0.25,59.5
881,0.25,0.25,59.5
882,0.25,0.25,59.5
883,0.25,0.25,59.5
884,0.25,0.25,59.5
885,0.25,0.25,59.5
886,0.25,0.25,59.5
887,0.25,0.25,59.5
888,0.25,0.25,59.5
889,0.25,0.25,59.5
890,0.25,0.25,59.5
